a,b,r,p,blocks,expected_raw_samples,model_size,approximation_risk,unseen_mode_risk,total_risk,asymptotic_data_risk,predicted_slope
2.0,1.8,0.4,2.4,2048,2435.2783891394056,262144,3.071883984556645e-05,0.05199663610432479,0.05202735494417036,0.052032999814009495,-0.33333333333333337
2.0,1.8,0.4,2.4,4096,4870.556778278811,262144,3.071883984556645e-05,0.04126566010028204,0.04129637894012761,0.0412986193209099,-0.33333333333333337
2.0,1.8,0.4,2.4,8192,9741.113556557622,262144,3.071883984556645e-05,0.03274712789967309,0.032777846739518654,0.03277873587742329,-0.33333333333333337
2.0,1.8,0.4,2.4,16384,19482.227113115245,262144,3.071883984556645e-05,0.025985428204179945,0.026016147044025512,0.026016499907004748,-0.33333333333333337
2.0,1.8,0.4,2.4,32768,38964.45422623049,262144,3.071883984556645e-05,0.020618450785195818,0.020649169625041385,0.02064930966045495,-0.33333333333333337
2.0,1.8,0.4,2.4,65536,77928.90845246098,262144,3.071883984556645e-05,0.016358593525474467,0.016389312365320034,0.016389367938711645,-0.33333333333333337
2.0,1.8,0.4,2.4,131072,155857.81690492196,262144,3.071883984556645e-05,0.01297750905933403,0.013008227899179598,0.01300824995350237,-0.33333333333333337
2.0,1.8,0.4,2.4,262144,311715.6338098439,262144,3.071883984556645e-05,0.01029392723822058,0.010324646078066147,0.010324654830227473,-0.33333333333333337
2.0,1.8,0.4,2.4,524288,623431.2676196878,262144,3.071883984556645e-05,0.008163961656441062,0.00819468049628663,0.00819468396935582,-0.33333333333333337
2.0,1.8,0.4,2.4,1048576,1246862.5352393757,262144,3.071883984556645e-05,0.006473404759078492,0.0065041235989240585,0.006504124976751185,-0.33333333333333337
2.0,1.8,0.4,2.4,2097152,2493725.0704787513,262144,3.071883984556645e-05,0.0051316080294006245,0.005162326869246191,0.005162327415113736,-0.33333333333333337
2.0,1.8,0.4,2.4,4194304,4987450.140957503,262144,3.071883984556645e-05,0.004066622930051877,0.0040973417698974435,0.00409734198467791,-0.33333333333333337
2.0,1.8,0.4,2.4,8388608,9974900.281915005,262144,3.071883984556645e-05,0.0032213435669888003,0.0032520624068343666,0.0032520624883755926,-0.33333333333333337
2.0,1.8,0.4,2.4,16777216,19949800.56383001,262144,3.071883984556645e-05,0.002550444842740565,0.0025811636825861313,0.0025811637075568677,-0.33333333333333337
2.0,1.8,0.4,2.4,33554432,39899601.12766002,262144,3.071883984556645e-05,0.002017952157361581,0.0020486709972071474,0.002048670992338955,-0.33333333333333337
2.0,1.8,0.8,2.8,64,84.42111272758581,262144,3.071883984556645e-05,0.19343987341998672,0.1934705922598323,0.19395457279205586,-0.28571428571428575
2.0,1.8,0.8,2.8,128,168.84222545517162,262144,3.071883984556645e-05,0.1588361823710138,0.15886690121085936,0.15910779352068047,-0.28571428571428575
2.0,1.8,0.8,2.8,256,337.68445091034323,262144,3.071883984556645e-05,0.130398599099964,0.13042931793980958,0.13052174844137715,-0.28571428571428575
2.0,1.8,0.8,2.8,512,675.3689018206865,262144,3.071883984556645e-05,0.10700262670167479,0.10703334554152036,0.10707160497439648,-0.28571428571428575
2.0,1.8,0.8,2.8,1024,1350.737803641373,262144,3.071883984556645e-05,0.08778816112164516,0.08781887996149072,0.08783462318498071,-0.28571428571428575
2.0,1.8,0.8,2.8,2048,2701.475607282746,262144,3.071883984556645e-05,0.07201666723302104,0.0720473860728666,0.07205384688024788,-0.28571428571428575
2.0,1.8,0.8,2.8,4096,5402.951214565492,262144,3.071883984556645e-05,0.059074948973458635,0.0591056678133042,0.05910831813222798,-0.28571428571428575
2.0,1.8,0.8,2.8,8192,10805.902429130983,262144,3.071883984556645e-05,0.04845683723747845,0.048487556077324016,0.04848864319801395,-0.28571428571428575
2.0,1.8,0.8,2.8,16384,21611.804858261967,262144,3.071883984556645e-05,0.03974578362892488,0.039776502468770444,0.03977694838017011,-0.28571428571428575
2.0,1.8,0.8,2.8,32768,43223.60971652393,262144,3.071883984556645e-05,0.03259953537008099,0.03263025420992656,0.03263043711034428,-0.28571428571428575
2.0,1.8,0.8,2.8,65536,86447.21943304787,262144,3.071883984556645e-05,0.026737107383509165,0.026767826223354732,0.026767901243599117,-0.28571428571428575
2.0,1.8,0.8,2.8,131072,172894.43886609573,262144,3.071883984556645e-05,0.021927906185437503,0.02195862502528307,0.021958655796245174,-0.28571428571428575
2.0,1.8,0.8,2.8,262144,345788.87773219147,262144,3.071883984556645e-05,0.017982730258946058,0.018013449098791625,0.018013461720061966,-0.28571428571428575
2.0,1.8,0.8,2.8,524288,691577.7554643829,262144,3.071883984556645e-05,0.01474635551637232,0.014777074356217888,0.014777079533056993,-0.28571428571428575
2.0,1.8,0.8,2.8,1048576,1383155.5109287659,262144,3.071883984556645e-05,0.012091439836288199,0.012122158676133766,0.012122160799503486,-0.28571428571428575
2.0,1.8,0.8,2.8,2097152,2766311.0218575317,262144,3.071883984556645e-05,0.009913517384265328,0.009944236224110895,0.009944237095042526,-0.28571428571428575
2.0,1.8,0.8,2.8,4194304,5532622.0437150635,262144,3.071883984556645e-05,0.008126890080524755,0.008157608920370322,0.008157609277586068,-0.28571428571428575
2.0,1.8,0.8,2.8,8388608,11065244.087430127,262144,3.071883984556645e-05,0.006661256324560422,0.006691975164405988,0.0066919753108997775,-0.28571428571428575
2.0,1.8,0.8,2.8,16777216,22130488.174860254,262144,3.071883984556645e-05,0.005458945049177848,0.0054896638890234144,0.005489663949061293,-0.28571428571428575
2.0,1.8,0.8,2.8,33554432,44260976.34972051,262144,3.071883984556645e-05,0.004472646565642609,0.004503365405488176,0.004503365430015491,-0.28571428571428575
