a,b,r,p,blocks,expected_raw_samples,model_size,approximation_risk,unseen_mode_risk,total_risk,asymptotic_data_risk,predicted_slope
2.0,1.8,0.0,2.0,64,64.0,262144,3.071883984556645e-05,0.13561260220218724,0.1356433210420328,0.13623151608159423,-0.4
2.0,1.8,0.0,2.0,128,128.0,262144,3.071883984556645e-05,0.10298850706602054,0.10301922590586611,0.10324418290285003,-0.4
2.0,1.8,0.0,2.0,256,256.0,262144,3.071883984556645e-05,0.07812830913789875,0.07815902797774432,0.0782444592108397,-0.4
2.0,1.8,0.0,2.0,512,512.0,262144,3.071883984556645e-05,0.059235091856370437,0.059265810696216004,0.05929821153175842,-0.4
2.0,1.8,0.0,2.0,1024,1024.0,262144,3.071883984556645e-05,0.04489663904655637,0.04492735788640194,0.04493964079156208,-0.4
2.0,1.8,0.0,2.0,2048,2048.0,262144,3.071883984556645e-05,0.03402250483024113,0.034053223670086695,0.03405787902039855,-0.4
2.0,1.8,0.0,2.0,4096,4096.0,262144,3.071883984556645e-05,0.025778562648749104,0.02580928148859467,0.02581104572571251,-0.4
2.0,1.8,0.0,2.0,8192,8192.0,262144,3.071883984556645e-05,0.019529727406618173,0.01956044624646374,0.019561114802709924,-0.4
2.0,1.8,0.0,2.0,16384,16384.0,262144,3.071883984556645e-05,0.014793580701877359,0.014824299541722926,0.014824552882939605,-0.4
2.0,1.8,0.0,2.0,32768,32768.0,262144,3.071883984556645e-05,0.011204095360448337,0.011234814200293904,0.01123491019789052,-0.4
2.0,1.8,0.0,2.0,65536,65536.0,262144,3.071883984556645e-05,0.008483714542847331,0.008514433382692898,0.008514469755099638,-0.4
2.0,1.8,0.0,2.0,131072,131072.0,262144,3.071883984556645e-05,0.00642202881722018,0.006452747657065746,0.006452761431428126,-0.4
2.0,1.8,0.0,2.0,262144,262144.0,262144,3.071883984556645e-05,0.0048595546578133406,0.004890273497658907,0.004890278700677481,-0.4
2.0,1.8,0.0,2.0,524288,524288.0,262144,3.071883984556645e-05,0.003675417442307307,0.003706136282152873,0.003706138220734901,-0.4
2.0,1.8,0.0,2.0,1048576,1048576.0,262144,3.071883984556645e-05,0.0027780080410314103,0.0028087268808769765,0.0028087275494726297,-0.4
2.0,1.8,0.0,2.0,2097152,2097152.0,262144,3.071883984556645e-05,0.002097898477558278,0.0021286173174038443,0.0021286174387749094,-0.4
2.0,1.8,0.0,2.0,4194304,4194304.0,262144,3.071883984556645e-05,0.0015824717359775697,0.0016131905758231362,0.0016131903578570316,-0.4
2.0,1.8,0.0,2.0,8388608,8388608.0,262144,3.071883984556645e-05,0.0011918514458254257,0.0012225702856709922,0.00122256967516937,-0.4
2.0,1.8,0.0,2.0,16777216,16777216.0,262144,3.071883984556645e-05,0.0008958170024653239,0.0009265358423108903,0.0009265345551837251,-0.4
2.0,1.8,0.0,2.0,33554432,33554432.0,262144,3.071883984556645e-05,0.0006714656467311161,0.0007021844865766826,0.0007021818873681574,-0.4
2.0,1.8,0.4,2.4,64,76.10244966060642,262144,3.071883984556645e-05,0.16461489134309212,0.1646456101829377,0.16519447728363962,-0.33333333333333337
2.0,1.8,0.4,2.4,128,152.20489932121285,262144,3.071883984556645e-05,0.13085645201593424,0.1308871708557798,0.1311149435096932,-0.33333333333333337
2.0,1.8,0.4,2.4,256,304.4097986424257,262144,3.071883984556645e-05,0.10394496790105981,0.10397568674090538,0.104065999628019,-0.33333333333333337
2.0,1.8,0.4,2.4,512,608.8195972848514,262144,3.071883984556645e-05,0.08253069377613198,0.08256141261597755,0.08259723864181981,-0.33333333333333337
2.0,1.8,0.4,2.4,1024,1217.6391945697028,262144,3.071883984556645e-05,0.06551253142016983,0.0655432502600154,0.0655574717548466,-0.33333333333333337
