regime,selection,a,b,r,p,sigma,blocks,optimal_model_size,optimal_risk,approximation_at_optimum,coverage_at_optimum,variance_at_optimum
hard,frontier,2.0,1.8,0.8,2.8,0.35,128,6,0.1780073960657292,0.1483522019833468,0.025851887083381736,0.0038033069990006728
hard,frontier,2.0,1.8,0.8,2.8,0.35,256,8,0.14475229873507384,0.1197686059870561,0.02248287396020873,0.0025008187878089983
hard,frontier,2.0,1.8,0.8,2.8,0.35,512,10,0.11957119575064758,0.10116964286363812,0.016786803039394102,0.0016147498476153474
hard,frontier,2.0,1.8,0.8,2.8,0.35,1024,12,0.10015213628877705,0.0880122103916744,0.011114047608182229,0.0010258782889204213
hard,frontier,2.0,1.8,0.8,2.8,0.35,2048,16,0.081168366990637,0.07049440359165636,0.010004442412566629,0.000669520986414
hard,frontier,2.0,1.8,0.8,2.8,0.35,4096,20,0.06716668721240691,0.059261461424743346,0.007477238421840791,0.0004279873658227854
hard,frontier,2.0,1.8,0.8,2.8,0.35,8192,25,0.05561870298581498,0.04976972138887808,0.005577341468299205,0.0002716401286376942
hard,frontier,2.0,1.8,0.8,2.8,0.35,16384,32,0.045664228637806475,0.04099265596869593,0.004499581896524737,0.00017199077258580256
hard,frontier,2.0,1.8,0.8,2.8,0.35,32768,41,0.03747458295516454,0.03371194463655401,0.0036527793518881407,0.00010985896672238823
hard,frontier,2.0,1.8,0.8,2.8,0.35,65536,53,0.0306467721052947,0.027513464567490105,0.0030625276229389355,7.077991486565762e-05
hard,frontier,2.0,1.8,0.8,2.8,0.35,131072,68,0.025131924992540872,0.022577684491574494,0.0025089638416554904,4.527665931088608e-05
hard,frontier,2.0,1.8,0.8,2.8,0.35,262144,87,0.020630325739947806,0.018562119498273286,0.0020392356387748975,2.8970602899623324e-05
hard,frontier,2.0,1.8,0.8,2.8,0.35,524288,111,0.016952548925753888,0.015290279356537883,0.001643750306206361,1.8519263009642602e-05
hard,frontier,2.0,1.8,0.8,2.8,0.35,1048576,142,0.013915630641855185,0.012565629064942055,0.0013381506642368467,1.1850912676282757e-05
hard,frontier,2.0,1.8,0.8,2.8,0.35,2097152,182,0.011414012235204864,0.010309232461304406,0.001097190378662643,7.589395237814498e-06
hard,frontier,2.0,1.8,0.8,2.8,0.35,4194304,232,0.009381988891054426,0.008493732164787613,0.0008834059446797664,4.850781587045457e-06
smooth,optimal,2.0,4.0,0.8,2.8,0.35,128,8,0.006223852640064982,0.0004980637861844043,0.0017666223969712144,0.003959166456909363
smooth,optimal,2.0,4.0,0.8,2.8,0.35,256,8,0.0036659184840992522,0.0004980637861844043,0.0006670359101058496,0.0025008187878089983
smooth,optimal,2.0,4.0,0.8,2.8,0.35,512,9,0.0021783207249524003,0.0003572409843368825,0.00025401678851120466,0.0015670629521043133
smooth,optimal,2.0,4.0,0.8,2.8,0.35,1024,10,0.001299410988040891,0.0002648471440447235,8.377786938781309e-05,0.0009507859746083545
smooth,optimal,2.0,4.0,0.8,2.8,0.35,2048,11,0.0007745780461262949,0.00020174090793232747,2.1751049795598365e-05,0.000551086088398369
smooth,optimal,2.0,4.0,0.8,2.8,0.35,4096,13,0.00045965000889672903,0.00012483404156012474,6.43421013132129e-06,0.000328381757205283
smooth,optimal,2.0,4.0,0.8,2.8,0.35,8192,15,0.0002707215286885563,8.253253172906599e-05,1.387226700358044e-06,0.00018680177025913222
smooth,optimal,2.0,4.0,0.8,2.8,0.35,16384,18,0.0001571409270702645,4.857057699026937e-05,3.421878997277566e-07,0.00010822816218026738
smooth,optimal,2.0,4.0,0.8,2.8,0.35,32768,22,9.186350994909101e-05,2.7011319800354644e-05,9.193118735264006e-08,6.476025896138372e-05
smooth,optimal,2.0,4.0,0.8,2.8,0.35,65536,26,5.406582174244497e-05,1.6537703461872308e-05,1.4175688699876418e-08,3.7513942591872785e-05
smooth,optimal,2.0,4.0,0.8,2.8,0.35,131072,32,3.166891353270916e-05,8.967393329726983e-06,3.366783345070117e-09,2.2698153419637104e-05
smooth,optimal,2.0,4.0,0.8,2.8,0.35,262144,38,1.859123619163334e-05,5.395020990455664e-06,3.6111029809653933e-10,1.319585409087958e-05
smooth,optimal,2.0,4.0,0.8,2.8,0.35,524288,46,1.0932072410626136e-05,3.0624041720956533e-06,4.4263094991263274e-11,7.869623975435493e-06
smooth,optimal,2.0,4.0,0.8,2.8,0.35,1048576,55,6.434418966745616e-06,1.80124310856387e-06,2.971826605527178e-12,4.633172886355141e-06
smooth,optimal,2.0,4.0,0.8,2.8,0.35,2097152,66,3.790348219806646e-06,1.0471471899753674e-06,1.4988649778512675e-13,2.743200879944781e-06
smooth,optimal,2.0,4.0,0.8,2.8,0.35,4194304,79,2.2338239741740844e-06,6.128949232263218e-07,4.298054570700616e-15,1.620929046649708e-06
