a,b,r,raw_horizon,model_size,trials,boundary_mean_risk,boundary_stderr,boundary_mean_blocks,stationary_mean_risk,stationary_stderr,stationary_mean_blocks,stationary_residual_tail,boundary_predicted_exponent,residual_predicted_exponent
2.0,4.5,3.0,32,65536,3000,0.02717587038568565,0.0004916788369334102,25.157333333333334,0.15235991061827647,0.006014010128213559,20.986,0.1430963510924694,0.7,0.3333333333333333
2.0,4.5,3.0,128,65536,3000,0.010142394260547834,0.00019142466858763896,92.65233333333333,0.10390007193907183,0.005314376943728039,80.43866666666666,0.08969644307259646,0.7,0.3333333333333333
2.0,4.5,3.0,512,65536,3000,0.0043623461916957925,6.597909949952811e-05,353.81666666666666,0.06223459823265962,0.00426256483551108,324.29333333333335,0.05674801997222545,0.7,0.3333333333333333
2.0,4.5,3.0,2048,65536,3000,0.0015782020166099566,1.9494530143104102e-05,1364.8306666666667,0.04186063250946737,0.0035869354707198757,1278.4433333333334,0.03593248939889931,0.7,0.3333333333333333
2.0,4.5,3.0,8192,65536,3000,0.0006310282529239306,7.63759833633744e-06,5325.460666666667,0.021612129391547323,0.002616634527435265,5181.55,0.022613973433231554,0.7,0.3333333333333333
