a,b,r,compute_budget,optimal_model_size,optimal_innovation_blocks,optimal_risk
2.0,1.8,0.0,4096,16,256,0.08797999146421026
2.0,1.8,0.0,8192,21,390,0.07331531175936122
2.0,1.8,0.0,16384,26,630,0.06101462774922514
2.0,1.8,0.0,32768,32,1024,0.05079023962017043
2.0,1.8,0.0,65536,41,1598,0.04225042717272644
2.0,1.8,0.0,131072,52,2520,0.035144279343837986
2.0,1.8,0.0,262144,65,4032,0.029232594336820183
2.0,1.8,0.0,524288,83,6316,0.024306620663299614
2.0,1.8,0.0,1048576,104,10082,0.02021191851287383
2.0,1.8,0.0,2097152,133,15768,0.016805106422520515
2.0,1.8,0.0,4194304,167,25115,0.013971807003929235
2.0,1.8,0.0,8388608,208,40329,0.011616489601769194
2.0,1.8,0.0,16777216,268,62601,0.009657628757570716
2.0,1.8,0.0,33554432,334,100462,0.008027903637482188
2.0,1.8,0.0,67108864,418,160547,0.006673797484264176
2.0,1.8,0.0,134217728,536,250406,0.005548187369184617
2.0,1.8,0.0,268435456,670,400649,0.004611775951031038
2.0,1.8,0.0,536870912,837,641422,0.003833682488996155
2.0,1.8,0.0,1073741824,1046,1026521,0.003187113631614347
2.0,1.8,0.4,4096,13,315,0.10511776031989714
2.0,1.8,0.4,8192,16,512,0.08946568367697266
2.0,1.8,0.4,16384,19,862,0.07612647301963295
2.0,1.8,0.4,32768,24,1365,0.06473769419758513
2.0,1.8,0.4,65536,29,2259,0.055053280344720366
2.0,1.8,0.4,131072,36,3640,0.04680037989959167
2.0,1.8,0.4,262144,44,5957,0.03978256945048969
2.0,1.8,0.4,524288,55,9532,0.03381329053052954
2.0,1.8,0.4,1048576,67,15650,0.02873470062926737
2.0,1.8,0.4,2097152,83,25266,0.024420310847813546
2.0,1.8,0.4,4194304,101,41527,0.020749413289496782
2.0,1.8,0.4,8388608,123,68200,0.017630825225194706
2.0,1.8,0.4,16777216,153,109655,0.014980681439462932
2.0,1.8,0.4,33554432,186,180400,0.012727548929112494
2.0,1.8,0.4,67108864,226,296941,0.010814095118648004
2.0,1.8,0.4,134217728,283,474267,0.009187656864468739
2.0,1.8,0.4,268435456,344,780335,0.007805126039798147
2.0,1.8,0.4,536870912,418,1284380,0.00663116990119974
2.0,1.8,0.4,1073741824,522,2056976,0.005633729496016166
2.0,1.8,0.8,4096,10,409,0.12309921246948463
2.0,1.8,0.8,8192,12,682,0.10660865596020526
2.0,1.8,0.8,16384,15,1092,0.0922097416352697
2.0,1.8,0.8,32768,18,1820,0.07979115119520845
2.0,1.8,0.8,65536,22,2978,0.06903244629062194
2.0,1.8,0.8,131072,26,5041,0.05970590790934723
2.0,1.8,0.8,262144,32,8192,0.05163704252835001
2.0,1.8,0.8,524288,38,13797,0.04464719716585834
2.0,1.8,0.8,1048576,46,22795,0.038604297197831386
2.0,1.8,0.8,2097152,55,38130,0.03337488174007501
2.0,1.8,0.8,4194304,67,62601,0.028856148439079198
2.0,1.8,0.8,8388608,79,106184,0.024942020942109462
2.0,1.8,0.8,16777216,96,174762,0.021560726438133712
2.0,1.8,0.8,33554432,113,296941,0.018637774575659797
2.0,1.8,0.8,67108864,137,489845,0.01610830478254667
2.0,1.8,0.8,134217728,167,803698,0.013923949675132268
2.0,1.8,0.8,268435456,197,1362616,0.012033942884546818
2.0,1.8,0.8,536870912,239,2246321,0.01040086043281425
2.0,1.8,0.8,1073741824,283,3794140,0.008989612287017276
