profile,a,b,r,raw_horizon,model_size,trials,trace_iat,mean_risk,stderr
uniform,2.0,1.8,0.0,256,65536,300,15.0,0.17568601471928494,0.0023691205831973604
aligned,2.0,1.8,0.8,256,65536,300,15.0,0.1778559337581048,0.0019838647117133997
uniform,2.0,1.8,0.0,512,65536,300,15.0,0.13413251065637094,0.0015131455510977063
aligned,2.0,1.8,0.8,512,65536,300,15.0,0.1466164802819955,0.0013220873212490298
uniform,2.0,1.8,0.0,1024,65536,300,15.0,0.10316479862332985,0.000964908452292568
aligned,2.0,1.8,0.8,1024,65536,300,15.0,0.12114085814999768,0.0009282338926340077
uniform,2.0,1.8,0.0,2048,65536,300,15.0,0.07870479628916047,0.0005695688617187616
aligned,2.0,1.8,0.8,2048,65536,300,15.0,0.10161343228055791,0.003084196524790546
uniform,2.0,1.8,0.0,4096,65536,300,15.0,0.05955208034716776,0.00038503642270029984
aligned,2.0,1.8,0.8,4096,65536,300,15.0,0.08109664287094506,0.0004674912684813101
uniform,2.0,1.8,0.0,8192,65536,300,15.0,0.04505406482226115,0.00022868054752730592
aligned,2.0,1.8,0.8,8192,65536,300,15.0,0.06643339808842856,0.00038185397342775103
uniform,2.0,1.8,0.0,16384,65536,300,15.0,0.033957852813881355,0.00015106813038702995
aligned,2.0,1.8,0.8,16384,65536,300,15.0,0.055010399429909096,0.0002569372829395874
uniform,2.0,1.8,0.0,32768,65536,300,15.0,0.026206515830837482,0.00010435340248838856
aligned,2.0,1.8,0.8,32768,65536,300,15.0,0.0448261586503061,0.00019104762036270843
uniform,2.0,1.8,0.0,65536,65536,300,15.0,0.019575131994472583,6.115704549201547e-05
aligned,2.0,1.8,0.8,65536,65536,300,15.0,0.036879321278973906,0.00012823246207629144
uniform,2.0,1.8,0.0,131072,65536,300,15.0,0.014806380825729175,3.7989077627550314e-05
aligned,2.0,1.8,0.8,131072,65536,300,15.0,0.030373741462506085,9.952509950614564e-05
uniform,2.0,1.8,0.0,262144,65536,300,15.0,0.011243760313631376,2.5589354454832488e-05
aligned,2.0,1.8,0.8,262144,65536,300,15.0,0.024866538996517994,7.087811401051827e-05
