process,r,n,dimension,trials,mean_risk,stderr
iid,,16,256,40,0.15310089691762602,0.006865519810913751
iid,,24,256,40,0.10600520382229353,0.003643479982461629
iid,,36,256,40,0.08000432371776782,0.0028829961192402605
iid,,54,256,40,0.05238568024863662,0.001348902746919254
iid,,80,256,40,0.03670751612698538,0.0007653835411440897
iid,,120,256,40,0.024101706533638946,0.00035883766285249406
iid,,176,256,40,0.015288238094844673,0.00022366535011922024
ar_r=0,0.0,16,256,40,0.14441251427882712,0.006375128697601976
ar_r=0,0.0,24,256,40,0.1084749314421199,0.004886834936564351
ar_r=0,0.0,36,256,40,0.08023228159965805,0.002155161849469444
ar_r=0,0.0,54,256,40,0.05662451089912871,0.0011643677363462268
ar_r=0,0.0,80,256,40,0.036871327549826236,0.0006167987669522082
ar_r=0,0.0,120,256,40,0.02407713943145593,0.0004063987814623544
ar_r=0,0.0,176,256,40,0.01484431712716712,0.00018555534330755175
ar_r=0.5,0.5,16,256,40,0.12286069685169212,0.004477898597232201
ar_r=0.5,0.5,24,256,40,0.09166016012809211,0.0021593313606817696
ar_r=0.5,0.5,36,256,40,0.06281701922462617,0.0016028881805677385
ar_r=0.5,0.5,54,256,40,0.043689999022407236,0.0007404973658344564
ar_r=0.5,0.5,80,256,40,0.03092306626796268,0.00044083569849949093
ar_r=0.5,0.5,120,256,40,0.020396005974307543,0.00022517600167167503
ar_r=0.5,0.5,176,256,40,0.013637643560849871,0.00015416952986152156
ar_r=1,1.0,16,256,40,0.1095136498511401,0.003227272126534514
ar_r=1,1.0,24,256,40,0.07240384955720211,0.001631252790245048
ar_r=1,1.0,36,256,40,0.05084635452468882,0.0009402728780355577
ar_r=1,1.0,54,256,40,0.03742522433200969,0.0006574963443383816
ar_r=1,1.0,80,256,40,0.026747505321977404,0.00029968191421200736
ar_r=1,1.0,120,256,40,0.0181931611922027,0.0001875012529415902
ar_r=1,1.0,176,256,40,0.01269917034132292,0.00012145225997094533
