a,b,r,blocks,model_size,mixing_strength,condition_number,max_row_coherence,trials,exact_coverage_risk,decoded_dense_mean,orthogonal_min_norm_mean,dictionary_min_norm_mean,dictionary_min_norm_stderr,decoded_relative_error,orthogonal_relative_error,dictionary_ratio_to_exact
2.0,1.8,0.0,64,512,0.2,4.672722879039464,0.13003651558333418,120,0.13564351204441993,0.13516793526499668,0.1351679352649968,0.141258898839887,0.001972267062115106,-0.0035060783391358498,-0.0035060783391350314,1.0413981229977896
2.0,1.8,0.0,256,512,0.2,4.672722879039464,0.13003651558333418,120,0.07815979188827953,0.07770390345248242,0.07770390345248253,0.08269429568694144,0.0009188159349743628,-0.005832774432776747,-0.0058327744327753275,1.0580158120833212
2.0,1.8,0.0,1024,512,0.2,4.672722879039464,0.13003651558333418,120,0.044930411945160016,0.04478511339203095,0.04478511339203101,0.04908404419073698,0.0004972231653421042,-0.0032338575775002934,-0.0032338575774989034,1.0924458972387499
2.0,1.8,0.0,4096,512,0.2,4.672722879039464,0.13003651558333418,120,0.025821472442394838,0.025727370263445182,0.02572737026344518,0.027881676631328674,0.00018032393221085202,-0.003644338221206732,-0.0036443382212068666,1.0797864720352393
2.0,1.8,0.0,16384,512,0.2,4.672722879039464,0.13003651558333418,120,0.014872662217872708,0.014900740711242014,0.014900740711242014,0.016294799102223954,9.763798312330538e-05,0.001887926516314204,0.001887926516314204,1.0956208689149305
2.0,1.8,0.8,64,512,0.2,4.672722879039464,0.13003651558333418,120,0.19347059359159913,0.19084515473518157,0.1908451547351816,0.1942719667414524,0.0031314070491914054,-0.013570221746254866,-0.013570221746254722,1.0041420927851439
2.0,1.8,0.8,256,512,0.2,4.672722879039464,0.13003651558333418,120,0.1304293232668714,0.1305305379183371,0.13053053791833727,0.1370497778064869,0.001773937251332371,0.0007760114744949478,0.0007760114744962246,1.050758942650261
2.0,1.8,0.8,1024,512,0.2,4.672722879039464,0.13003651558333418,120,0.087818901269643,0.08769668345728365,0.08769668345728379,0.091713267316003,0.0009632042798248759,-0.0013917028178714905,-0.0013917028178699103,1.0443454198362443
2.0,1.8,0.8,4096,512,0.2,4.672722879039464,0.13003651558333418,120,0.05910575304438536,0.05877995002948032,0.058779950029480464,0.06278887740068027,0.0004931327306392374,-0.005512204787584396,-0.005512204787581931,1.0623141431516672
2.0,1.8,0.8,16384,512,0.2,4.672722879039464,0.13003651558333418,120,0.03977684336865086,0.039756241610389466,0.03975624161038948,0.0427811784612274,0.0003160520499672391,-0.0005179334637104456,-0.0005179334637100967,1.0755297514368456
